
Strategy Name,Parent Family,Type,Core / Subtype / Variation,Core Logic,How it Works,Typical Use Case,Known Users / Origin,Evidence Type,Confidence Level
Iron Condor,Complex Option Strategies,Futures/Derivatives,Core,Generates premium by betting gold will remain within a defined range; profits from low volatility.,Sell out‑of‑the‑money call and put spreads simultaneously,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,Medium
Iron Condor (Swing),Complex Option Strategies,Futures/Derivatives,Variation,Generates premium by betting gold will remain within a defined range; profits from low volatility.,Sell out‑of‑the‑money call and put spreads simultaneously Applied on a swing basis with time-specific entry and exit rules.,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,Medium
Butterfly Spread,Complex Option Strategies,Futures/Derivatives,Core,Profits if gold prices expire near the middle strike; risk is limited and cost is low; used in range‑bound expectations.,Combine bull and bear spreads around a central strike,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,Medium
Butterfly Spread (Swing),Complex Option Strategies,Futures/Derivatives,Variation,Profits if gold prices expire near the middle strike; risk is limited and cost is low; used in range‑bound expectations.,Combine bull and bear spreads around a central strike Applied on a swing basis with time-specific entry and exit rules.,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,Medium
Protective Put,Hedging Strategies,Futures/Derivatives,Core,A form of insurance; pay premium to hedge downside while retaining upside exposure.,Hold long gold exposure and buy put options for downside protection,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,High
Protective Put (Swing),Hedging Strategies,Futures/Derivatives,Variation,A form of insurance; pay premium to hedge downside while retaining upside exposure.,Hold long gold exposure and buy put options for downside protection Applied on a swing basis with time-specific entry and exit rules.,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,High
Covered Call,Income Strategies,Futures/Derivatives,Core,Generates income from call premiums; sacrifices upside beyond the strike while holding the underlying asset.,Hold gold (or gold ETF) and sell call options to collect premium,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,High
Covered Call (Swing),Income Strategies,Futures/Derivatives,Variation,Generates income from call premiums; sacrifices upside beyond the strike while holding the underlying asset.,Hold gold (or gold ETF) and sell call options to collect premium Applied on a swing basis with time-specific entry and exit rules.,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,High
Collar Strategy,Hedging Strategies,Futures/Derivatives,Core,Combines protective put and covered call to create a price collar; limits both upside and downside within a defined range.,"Hold gold, buy a protective put, and sell a covered call to offset cost",Used by derivatives traders and hedgers.,Not clearly attributable,Options market,Medium
Collar Strategy (Swing),Hedging Strategies,Futures/Derivatives,Variation,Combines protective put and covered call to create a price collar; limits both upside and downside within a defined range.,"Hold gold, buy a protective put, and sell a covered call to offset cost Applied on a swing basis with time-specific entry and exit rules.",Used by derivatives traders and hedgers.,Not clearly attributable,Options market,Medium
Order Flow Footprint,Order Flow Trading,Institutional/Advanced,Core,"By reading order flow and footprint charts, traders gauge real‑time supply/demand and join institutional moves.",Use volume footprint charts and order book depth to identify buying/selling imbalances,Applied by professional traders and institutional desks.,Not clearly attributable,Futures-market,Medium
Order Flow Footprint (Swing),Order Flow Trading,Institutional/Advanced,Variation,"By reading order flow and footprint charts, traders gauge real‑time supply/demand and join institutional moves.",Use volume footprint charts and order book depth to identify buying/selling imbalances Applied on a swing basis with time-specific entry and exit rules.,Applied by professional traders and institutional desks.,Not clearly attributable,Futures-market,Medium
Liquidity Sweep Fade,Liquidity Sweep / Stop Cluster Trading,Institutional/Advanced,Core,"Large players trigger stop orders at key levels to access liquidity; after the sweep, price often reverses; contrarian traders fade the move.",Identify liquidity sweeps beyond obvious highs/lows and fade the move once stops are triggered,Applied by professional traders and institutional desks.,Not clearly attributable,Futures-market,Medium
Liquidity Sweep Fade (Swing),Liquidity Sweep / Stop Cluster Trading,Institutional/Advanced,Variation,"Large players trigger stop orders at key levels to access liquidity; after the sweep, price often reverses; contrarian traders fade the move.",Identify liquidity sweeps beyond obvious highs/lows and fade the move once stops are triggered Applied on a swing basis with time-specific entry and exit rules.,Applied by professional traders and institutional desks.,Not clearly attributable,Futures-market,Medium
Stop Cluster Breakout,Liquidity Sweep / Stop Cluster Trading,Institutional/Advanced,Core,"Instead of fading, some traders go with the liquidity sweep to capture momentum as stops trigger, exiting before reversal.","Trade with the sweep, riding momentum into stop clusters",Applied by professional traders and institutional desks.,Not clearly attributable,Futures-market,Low
Stop Cluster Breakout (Swing),Liquidity Sweep / Stop Cluster Trading,Institutional/Advanced,Variation,"Instead of fading, some traders go with the liquidity sweep to capture momentum as stops trigger, exiting before reversal.","Trade with the sweep, riding momentum into stop clusters Applied on a swing basis with time-specific entry and exit rules.",Applied by professional traders and institutional desks.,Not clearly attributable,Futures-market,Low
Relative Value (Gold vs Silver),Relative Value Trading,Institutional/Advanced,Core,"When the gold/silver ratio is at extremes, traders swap exposure between metals to exploit mean reversion.","Trade gold/silver ratio extremes; long undervalued metal, short overvalued metal",Applied by professional traders and institutional desks.,Not clearly attributable,Institutional,High
Relative Value (Gold vs Silver) (Swing),Relative Value Trading,Institutional/Advanced,Variation,"When the gold/silver ratio is at extremes, traders swap exposure between metals to exploit mean reversion.","Trade gold/silver ratio extremes; long undervalued metal, short overvalued metal Applied on a swing basis with time-specific entry and exit rules.",Applied by professional traders and institutional desks.,Not clearly attributable,Institutional,High
Relative Value (Gold vs USD),Relative Value Trading,Institutional/Advanced,Core,Identify mispricing between gold and currency strength; use options or futures to express relative view.,Trade gold against USD; short USD when gold undervalued and vice versa,Applied by professional traders and institutional desks.,Not clearly attributable,Institutional,Medium
Relative Value (Gold vs USD) (Swing),Relative Value Trading,Institutional/Advanced,Variation,Identify mispricing between gold and currency strength; use options or futures to express relative view.,Trade gold against USD; short USD when gold undervalued and vice versa Applied on a swing basis with time-specific entry and exit rules.,Applied by professional traders and institutional desks.,Not clearly attributable,Institutional,Medium
Statistical Arbitrage (Gold Pair),Statistical Arbitrage,Institutional/Advanced,Core,Pairs trading models exploit statistical relationships; deviations from mean are traded until convergence.,"Use mean reversion models on gold vs related assets (e.g., gold vs mining ETF)",Applied by professional traders and institutional desks.,Not clearly attributable,Academic,Medium
Statistical Arbitrage (Gold Pair) (Swing),Statistical Arbitrage,Institutional/Advanced,Variation,Pairs trading models exploit statistical relationships; deviations from mean are traded until convergence.,"Use mean reversion models on gold vs related assets (e.g., gold vs mining ETF) Applied on a swing basis with time-specific entry and exit rules.",Applied by professional traders and institutional desks.,Not clearly attributable,Academic,Medium
Execution Algorithm (VWAP/TWAP),Execution Algorithms,Institutional/Advanced,Core,Algorithms slice orders to minimise market impact; used by institutional desks to acquire or distribute positions.,Use VWAP or TWAP algorithms to execute large gold orders over time,Applied by professional traders and institutional desks.,Not clearly attributable,Institutional,High
Execution Algorithm (VWAP/TWAP) (Swing),Execution Algorithms,Institutional/Advanced,Variation,Algorithms slice orders to minimise market impact; used by institutional desks to acquire or distribute positions.,Use VWAP or TWAP algorithms to execute large gold orders over time Applied on a swing basis with time-specific entry and exit rules.,Applied by professional traders and institutional desks.,Not clearly attributable,Institutional,High
Market Making / Inventory Model,Market Making,Institutional/Advanced,Core,"Market makers supply liquidity, profit from spread and manage inventory using hedges; requires sophisticated risk management.",Quote both bids and asks in gold derivatives while managing inventory and hedging risk,Applied by professional traders and institutional desks.,Not clearly attributable,Futures-market,Medium
Market Making / Inventory Model (Swing),Market Making,Institutional/Advanced,Variation,"Market makers supply liquidity, profit from spread and manage inventory using hedges; requires sophisticated risk management.",Quote both bids and asks in gold derivatives while managing inventory and hedging risk Applied on a swing basis with time-specific entry and exit rules.,Applied by professional traders and institutional desks.,Not clearly attributable,Futures-market,Medium
Gold vs DXY Divergence,Cross‑Market,Cross-Market/Relative Value,Core,Gold often moves inversely with the USD; extreme moves in DXY relative to gold can create trading opportunities.,Trade gold long when DXY drops sharply; short when DXY spikes and gold fails to rally,Used by cross-asset traders seeking relative value opportunities.,Not clearly attributable,Academic,High
Gold vs Real Yields Spread,Cross‑Market,Cross-Market/Relative Value,Core,Large divergences between gold price and real yields may signal mispricing; traders bet on mean reversion.,Monitor spread between gold and inflation‑adjusted Treasury yields; trade reversals in the spread,Used by cross-asset traders seeking relative value opportunities.,Not clearly attributable,Academic,Medium
Gold vs Equities Risk‑Off Divergence,Cross‑Market,Cross-Market/Relative Value,Core,"During risk‑off episodes, gold may lag initially; buying gold on lag can capture late safe‑haven demand.",Long gold when equities fall and gold lags; short gold if equities rise and gold spikes disproportionately,Used by cross-asset traders seeking relative value opportunities.,Not clearly attributable,Institutional,Medium
Gold vs Oil Relationship,Cross‑Market,Cross-Market/Relative Value,Core,Oil prices influence inflation expectations; a surge in oil can increase demand for gold as an inflation hedge.,Trade gold based on extreme moves in oil; long gold when oil spikes and inflation fears rise,Used by cross-asset traders seeking relative value opportunities.,Not clearly attributable,Institutional,Medium
Gold vs Copper Correlation,Cross‑Market,Cross-Market/Relative Value,Core,"Copper is sensitive to economic growth; when copper falls but gold lags, safe‑haven demand may soon lift gold.",Compare gold with copper; divergence signals risk‑on/off; long gold when copper weakens,Used by cross-asset traders seeking relative value opportunities.,Not clearly attributable,Institutional,Low
Gold vs Inflation Expectations,Cross‑Market,Cross-Market/Relative Value,Core,A disconnect between rising inflation expectations and gold price can present an opportunity to buy gold.,Monitor breakeven inflation rates; go long gold when inflation expectations rise faster than gold,Used by cross-asset traders seeking relative value opportunities.,Not clearly attributable,Academic,Medium
Gold vs Silver Ratio High (Switch to Silver),Cross‑Market,Cross-Market/Relative Value,Core,A high ratio implies silver is undervalued; traders reduce gold exposure and buy silver expecting the ratio to revert.,"When the gold/silver ratio is historically high, rotate from gold into silver",Used by cross-asset traders seeking relative value opportunities.,Not clearly attributable,Institutional,High
Gold vs Silver Ratio Low (Switch to Gold),Cross‑Market,Cross-Market/Relative Value,Core,A low ratio implies gold is undervalued; traders increase gold exposure expecting the ratio to climb back toward average.,"When the gold/silver ratio is low, rotate from silver into gold",Used by cross-asset traders seeking relative value opportunities.,Not clearly attributable,Institutional,High
Rule‑Based Trend System,Quantitative,Algorithmic/Quantitative,Core,"Automated execution removes emotion; backtested rules determine entries, exits, and position sizing.","Program rules such as moving average crossovers, breakout levels, and trailing stops",Implemented via systematic or algorithmic trading systems.,Not clearly attributable,Academic,High
Rule‑Based Mean Reversion,Quantitative,Algorithmic/Quantitative,Core,Systematically fades price extremes using quantitative thresholds and stops.,"Use statistical bands (e.g., Bollinger) and oscillators to automatically trigger contra‑trend trades",Implemented via systematic or algorithmic trading systems.,Not clearly attributable,Academic,High
Volatility‑Targeted System,Quantitative,Algorithmic/Quantitative,Core,Keeps risk constant by scaling positions up when volatility is low and down when volatility is high.,Adjust position sizes based on target portfolio volatility using ATR or realised volatility,Implemented via systematic or algorithmic trading systems.,Not clearly attributable,Academic,High
Regime‑Switching Model,Quantitative,Algorithmic/Quantitative,Core,Detects trending vs mean‑reverting regimes; applies appropriate trading rules for each regime.,"Use statistical models (e.g., Markov switching) to identify regimes and switch between strategies",Implemented via systematic or algorithmic trading systems.,Not clearly attributable,Academic,Medium
Machine Learning Forecast Model,Quantitative,Algorithmic/Quantitative,Core,"ML models learn nonlinear relationships from macro, sentiment, and technical data to generate trading signals.",Employ machine learning algorithms to predict gold returns based on multiple features,Implemented via systematic or algorithmic trading systems.,Not clearly attributable,Academic,Low
Portfolio Rebalancing Algorithm,Quantitative,Algorithmic/Quantitative,Core,"Maintains target weights or risk contributions for gold relative to other assets, rebalancing systematically.",Use optimization and rebalancing rules to allocate gold within a multi‑asset portfolio,Implemented via systematic or algorithmic trading systems.,Not clearly attributable,Academic,Medium
Multi‑Timeframe Confluence,Hybrid Systems,Hybrid Systems,Core,"Trades only when higher‑timeframe trend, medium‑term structure, and lower‑timeframe setup align; reduces false signals.","Align signals across weekly, daily, and intraday charts",Applied by traders seeking confluence of multiple factors.,Not clearly attributable,Common practice,High
Macro + Technical Confluence,Hybrid Systems,Hybrid Systems,Core,"Signals require supportive macro backdrop and technical confirmation; for example, long gold only when real yields fall and price breaks resistance.","Combine macro drivers (e.g., real yields, USD) with technical triggers",Applied by traders seeking confluence of multiple factors.,Not clearly attributable,Institutional,High
Price Action + Volatility,Hybrid Systems,Hybrid Systems,Core,Avoids trading price patterns during low volatility; executes when volatility conditions support breakout or reversal patterns.,"Use price action setups filtered by volatility measures (ATR, Bollinger)",Applied by traders seeking confluence of multiple factors.,Not clearly attributable,Common practice,Medium
Yield + USD + Chart Structure,Hybrid Systems,Hybrid Systems,Core,"Requires alignment of macro (falling yields, weak USD) with technical breakout or trend; provides multi‑factor confirmation.","Combine real yield direction, USD trend, and chart structure",Applied by traders seeking confluence of multiple factors.,Not clearly attributable,Institutional,Medium
AI‑Assisted Signal,Hybrid Systems,Hybrid Systems,Core,"AI models evaluate technical, macro, sentiment inputs to enhance decision‑making; traders still supervise and manage risk.",Use AI or machine learning to rank and filter signals from multiple strategies,Applied by traders seeking confluence of multiple factors.,Not clearly attributable,Academic,Low
ATR‑Based Position Sizing,Risk Management,Risk Management,Core,Larger ATR implies wider stops and smaller position size; ensures consistent risk across varying volatility.,Determine position size based on ATR; risk a fixed percentage of capital per trade,Used by all traders to manage risk and capital.,Not clearly attributable,Broker,High
Leverage Control,Risk Management,Risk Management,Core,"Adjust leverage downward when volatility or drawdown risk increases, preserving capital.",Set maximum leverage ratio based on volatility and account size,Used by all traders to manage risk and capital.,Not clearly attributable,Institutional,High
News Event Risk Reduction,Risk Management,Risk Management,Core,Economic announcements can trigger large swings; trimming or hedging positions prevents outsized losses.,Reduce or hedge positions before high‑impact news events,Used by all traders to manage risk and capital.,Not clearly attributable,Institutional,High
Drawdown Controls,Risk Management,Risk Management,Core,Protects capital by pausing trading or cutting positions when cumulative losses exceed a pre‑defined level.,Implement maximum drawdown thresholds to stop trading or reduce exposure,Used by all traders to manage risk and capital.,Not clearly attributable,Common practice,High
Portfolio Hedging with Gold,Risk Management,Risk Management,Core,Gold often performs well during equity market stress; adding gold exposure reduces portfolio drawdowns.,Use gold positions or options to hedge broader portfolio risk,Used by all traders to manage risk and capital.,Not clearly attributable,Institutional,High
Correlation‑Aware Exposure,Risk Management,Risk Management,Core,"When correlations rise, reduce overall exposure to maintain diversification; when correlations drop, adjust positions accordingly.",Adjust gold allocation based on its correlation with other portfolio assets,Used by all traders to manage risk and capital.,Not clearly attributable,Academic,Medium
Dummy Strategy,Risk Management,Risk Management,Core,Dummy Core Logic,Dummy How it Works,Dummy Typical Use Case,Not clearly attributable,Academic,Medium
